research_period,cost_bps,strategy,n_months,annualized_mean,cagr,annualized_volatility,sharpe,maximum_drawdown,hit_rate
development,0.0,equal_weight_etfs,77,0.12352246227543627,0.12310209723307208,0.11758373917248098,1.0505063297421076,-0.16136672103551175,0.7272727272727273
development,0.0,etf_proxy,77,0.12725788714394023,0.1276761057216731,0.1144723178676593,1.111691363592919,-0.15484874630797973,0.7142857142857143
development,0.0,spy,77,0.1275254889050872,0.12821167661491772,0.11268274205044856,1.131721562544098,-0.13532091277649372,0.7402597402597403
development,5.0,equal_weight_etfs,77,0.12349363086795273,0.12306983709695807,0.11758500245471087,1.0502498472585196,-0.16137653322166812,0.7272727272727273
development,5.0,etf_proxy,77,0.12723485437305437,0.127650249557286,0.11447328124203916,1.1114808013935802,-0.15485631882784046,0.7142857142857143
development,5.0,spy,77,0.1275254889050872,0.12821167661491772,0.11268274205044856,1.131721562544098,-0.13532091277649372,0.7402597402597403
development,10.0,equal_weight_etfs,77,0.12346479946046914,0.12303757778715219,0.1175862658937005,1.0499933688861496,-0.16138634533709528,0.7272727272727273
development,10.0,etf_proxy,77,0.12721182160216843,0.12762439392459668,0.11447424469626609,1.1112702419631497,-0.154863891305681,0.7142857142857143
development,10.0,spy,77,0.1275254889050872,0.12821167661491772,0.11268274205044856,1.131721562544098,-0.13532091277649372,0.7402597402597403
development,25.0,equal_weight_etfs,77,0.12337830523801843,0.12294080481539393,0.11759005715117746,1.0492239584457335,-0.16141578125900324,0.7272727272727273
development,25.0,etf_proxy,77,0.12714272328951073,0.1275468302166216,0.11447713553800896,1.1106385802892187,-0.15488660848708402,0.7142857142857143
development,25.0,spy,77,0.1275254889050872,0.12821167661491772,0.11268274205044856,1.131721562544098,-0.13532091277649372,0.7402597402597403
embargo,0.0,equal_weight_etfs,12,0.1943226605942564,0.16935883431480336,0.28142476560726265,0.6904959489792734,-0.22164242639096088,0.5833333333333334
embargo,0.0,etf_proxy,12,0.19708460882515222,0.17620670292564733,0.2698209284927032,0.7304274354332821,-0.20897634729659043,0.5833333333333334
embargo,0.0,spy,12,0.20005888872832145,0.18331578688413264,0.25754680018628673,0.7767865435859286,-0.19415134482075025,0.5833333333333334
embargo,5.0,equal_weight_etfs,12,0.19427195292932603,0.16929883511869193,0.2814283850756435,0.6903068888275389,-0.22165449194443465,0.5833333333333334
embargo,5.0,etf_proxy,12,0.19704596547910452,0.1761608010677025,0.26982373185776004,0.7302766295700744,-0.20898565384831636,0.5833333333333334
embargo,5.0,spy,12,0.20005888872832145,0.18331578688413264,0.25754680018628673,0.7767865435859286,-0.19415134482075025,0.5833333333333334
embargo,10.0,equal_weight_etfs,12,0.1942212452643956,0.1692388386079604,0.2814320048308995,0.6901178328353056,-0.2216665574551091,0.5833333333333334
embargo,10.0,etf_proxy,12,0.19700732213305688,0.17611490077273384,0.26982653540012536,0.730125826360684,-0.20899496037458432,0.5833333333333334
embargo,10.0,spy,12,0.20005888872832145,0.18331578688413264,0.25754680018628673,0.7767865435859286,-0.19415134482075025,0.5833333333333334
embargo,25.0,equal_weight_etfs,12,0.19406912226960443,0.1690588651869971,0.2814428658178078,0.6895506898200617,-0.2217027537303371,0.5833333333333334
embargo,25.0,etf_proxy,12,0.19689139209491385,0.17597720926521943,0.26983494709101696,0.7296734326577098,-0.20902287980064083,0.5833333333333334
embargo,25.0,spy,12,0.20005888872832145,0.18331578688413264,0.25754680018628673,0.7767865435859286,-0.19415134482075025,0.5833333333333334
