date,gross_return,one_way_turnover,transaction_cost,net_return,cost_bps,spy_return,equal_weight_return,research_period
2013-08-30,-0.02789217271016776,0.0026384575830047316,0.0,-0.02789217271016776,0.0,-0.029991935711264572,-0.029681166444160856,development
2013-09-30,0.037140505134892095,0.0035373914058402026,0.0,0.037140505134892095,0.0,0.03164609653532069,0.038432063852783666,development
2013-10-31,0.046226953589087474,0.0025278135592751716,0.0,0.046226953589087474,0.0,0.046306785426116104,0.04442072518150808,development
2013-11-29,0.035700991564157056,0.0023290223988650313,0.0,0.035700991564157056,0.0,0.029637874570818123,0.03495458877714812,development
2013-12-31,0.023736976875889455,0.0009803912832832967,0.0,0.023736976875889455,0.0,0.025926565651482658,0.023486874650184487,development
2014-01-31,-0.03471440469000692,0.0029258949347165386,0.0,-0.03471440469000692,0.0,-0.03524830323640393,-0.032736169901775414,development
2014-02-28,0.04999306527133322,0.0028150808401743582,0.0,0.04999306527133322,0.0,0.04551595766045913,0.04982803904385422,development
2014-03-31,-0.004177393308556997,0.005762787306668599,0.0,-0.004177393308556997,0.0,0.00829509170257281,-0.0038066603282358668,development
2014-04-30,-0.0009580727456584349,0.005934737861048672,0.0,-0.0009580727456584349,0.0,0.006951847529207855,-0.0049838251076462555,development
2014-05-30,0.023377503650190548,0.0029054457024711225,0.0,0.023377503650190548,0.0,0.023206118940881426,0.022080121492912677,development
2014-06-30,0.019924281429192923,0.004942941372402657,0.0,0.019924281429192923,0.0,0.020644716897255888,0.025231308852577117,development
2014-07-31,-0.015772046037944278,0.00546165545986687,0.0,-0.015772046037944278,0.0,-0.013437367435801595,-0.02000642865898952,development
2014-08-29,0.041731971973985225,0.002058665679773683,0.0,0.041731971973985225,0.0,0.039463554060660044,0.04124289872402161,development
2014-09-30,-0.016090898005935616,0.005270240737049452,0.0,-0.016090898005935616,0.0,-0.013796344851439879,-0.02062643062615994,development
2014-10-31,0.028512706117416037,0.004368584768256176,0.0,0.028512706117416037,0.0,0.023550708753780736,0.030757359427527314,development
2014-11-28,0.02410701250699205,0.0031272121514038034,0.0,0.02410701250699205,0.0,0.027472271388169656,0.022861677493808855,development
2014-12-31,0.0002027904158486591,0.004102344097422092,0.0,0.0002027904158486591,0.0,-0.0025366401333654087,0.003601737473577927,development
2015-01-30,-0.023185710695723238,0.005010266867633159,0.0,-0.023185710695723238,0.0,-0.029629221532474825,-0.02557203122783005,development
2015-02-27,0.05808192870030316,0.0010047629558076407,0.0,0.05808192870030316,0.0,0.05620442228838085,0.05787545939722309,development
2015-03-31,-0.009987610964684875,0.0034349753385232856,0.0,-0.009987610964684875,0.0,-0.015705406452948045,-0.0067258211089556985,development
2015-04-30,-0.0012223541819777711,0.004513181262687238,0.0,-0.0012223541819777711,0.0,0.009833688785220396,-0.003562893706647352,development
2015-05-29,0.01794283513233076,0.0031710824816564703,0.0,0.01794283513233076,0.0,0.012856395365917317,0.018648975931454582,development
2015-06-30,-0.012883751204430017,0.004162464202316231,0.0,-0.012883751204430017,0.0,-0.020311935061594677,-0.010186960282937729,development
2015-07-31,0.020914250955976925,0.005998892082809376,0.0,0.020914250955976925,0.0,0.022589105755099537,0.016295514660711975,development
2015-08-31,-0.05819593706255818,0.0016009953489287063,0.0,-0.05819593706255818,0.0,-0.06095005565716893,-0.059203343548002565,development
2015-09-30,-0.023139886391969684,0.0044878387633409955,0.0,-0.023139886391969684,0.0,-0.025515997391264755,-0.027080031896470774,development
2015-10-30,0.07852452835261875,0.003993374432017499,0.0,0.07852452835261875,0.0,0.08505938263268553,0.07480186914919411,development
2015-11-30,0.0063358395554978224,0.00313353559830621,0.0,0.0063358395554978224,0.0,0.0036552451638534045,0.007831821500181269,development
2015-12-31,-0.01865093032185846,0.003879412835538408,0.0,-0.01865093032185846,0.0,-0.017282430840220964,-0.020960632301009797,development
2016-01-29,-0.05556231845806762,0.00810653011318229,0.0,-0.05556231845806762,0.0,-0.04978651810780821,-0.06130841032965313,development
2016-02-29,0.00185298615150294,0.0035858038884296825,0.0,0.00185298615150294,0.0,-0.0008262980278721521,0.001660376571977307,development
2016-03-31,0.06250771989051625,0.002976357238700468,0.0,0.06250771989051625,0.0,0.0672662001010631,0.06393574074358091,development
2016-04-29,0.0013379397685033155,0.0032105833956740937,0.0,0.0013379397685033155,0.0,0.003941322353294918,0.0035813980275749557,development
2016-05-31,0.016388425241699815,0.0022178380277826718,0.0,0.016388425241699815,0.0,0.017011490079954283,0.017870484418860945,development
2016-06-30,0.005997092390205915,0.004017770310761448,0.0,0.005997092390205915,0.0,0.0034760086071286,0.005119640663759606,development
2016-07-29,0.03646473104656408,0.003679752723342679,0.0,0.03646473104656408,0.0,0.03647102847725647,0.03955526310070838,development
2016-08-31,0.000653460306031986,0.0037000202914894906,0.0,0.000653460306031986,0.0,0.0011976304803391624,0.002867516195649711,development
2016-09-30,0.002623576897472704,0.001868041784244115,0.0,0.002623576897472704,0.0,5.817826545695404e-05,0.0042434278361759056,development
2016-10-31,-0.021548571593617297,0.0029968321498063458,0.0,-0.021548571593617297,0.0,-0.017337268130663053,-0.023018183634624465,development
2016-11-30,0.040320163314341774,0.011904752332175056,0.0,0.040320163314341774,0.0,0.036838367118307014,0.04849882373888387,development
2016-12-30,0.019650933146281035,0.0014664068685368778,0.0,0.019650933146281035,0.0,0.020271768100451393,0.020161852995766918,development
2017-01-31,0.01548200629384322,0.003234533145227425,0.0,0.01548200629384322,0.0,0.017894733003852137,0.015295038596981359,development
2017-02-28,0.04023309815926851,0.002991378732497177,0.0,0.04023309815926851,0.0,0.039291769879878924,0.03783903532873354,development
2017-03-31,0.002249916643918014,0.0031338931282063887,0.0,0.002249916643918014,0.0,0.0012496920353599617,0.002114045637719553,development
2017-04-28,0.01049365722615391,0.002717396241798939,0.0,0.01049365722615391,0.0,0.009926011606028462,0.011111840190609092,development
2017-05-31,0.014112387465957877,0.005957017504972184,0.0,0.014112387465957877,0.0,0.01411292966929012,0.011142876196905684,development
2017-06-30,0.009603082609804922,0.0031565070019855604,0.0,0.009603082609804922,0.0,0.006375016395143707,0.012211279927092365,development
2017-07-31,0.01774903996930287,0.0037451199068431335,0.0,0.01774903996930287,0.0,0.02055421231857224,0.01878100472345632,development
2017-08-31,0.0036022648766541386,0.002274807379581502,0.0,0.0036022648766541386,0.0,0.0029178017566715564,0.002361582040526544,development
2017-09-29,0.030837649114020066,0.004242630640873081,0.0,0.030837649114020066,0.0,0.02014939703687335,0.034511985798913486,development
2017-10-31,0.02856136305426834,0.0038571664465247846,0.0,0.02856136305426834,0.0,0.02356419906179341,0.02730420147063475,development
2017-11-30,0.033363577161547614,0.0019530530768774035,0.0,0.033363577161547614,0.0,0.03056560745677528,0.033111235483466485,development
2017-12-29,0.009095684082665692,0.0028969720187834586,0.0,0.009095684082665692,0.0,0.01212804714893867,0.007801589494256289,development
2018-01-31,0.05164735890120312,0.0059828226056767506,0.0,0.05164735890120312,0.0,0.05635912703000323,0.05070664509906027,development
2018-02-28,-0.029818256843431472,0.0029724793063647323,0.0,-0.029818256843431472,0.0,-0.03636017800193292,-0.03029439297104009,development
2018-03-29,-0.018088216723181262,0.005573068485416541,0.0,-0.018088216723181262,0.0,-0.027410676501589792,-0.017089012540626405,development
2018-04-30,-0.001010832458090098,0.004330454338695104,0.0,-0.001010832458090098,0.0,0.0051682823168131,0.002165826442751073,development
2018-05-31,0.030904210329337687,0.004174844585123641,0.0,0.030904210329337687,0.0,0.02430907269199878,0.03343360041362571,development
2018-06-29,0.0004918987406579913,0.0018337605314748054,0.0,0.0004918987406579913,0.0,0.005750830118159023,9.871883971155365e-05,development
2018-07-31,0.030895324523854108,0.0038955872675284497,0.0,0.030895324523854108,0.0,0.03704642759648191,0.028482791198528676,development
2018-08-31,0.04033459964205792,0.003350229744359945,0.0,0.04033459964205792,0.0,0.03191995015415716,0.04141492836355187,development
2018-09-28,0.003675397408604744,0.0039457572489380935,0.0,0.003675397408604744,0.0,0.005945151163064155,0.0001200032883448502,development
2018-10-31,-0.0801345523917331,0.0073273679679690396,0.0,-0.0801345523917331,0.0,-0.06910390912222941,-0.0824639856307933,development
2018-11-30,0.011130748309351197,0.002857633327749437,0.0,0.011130748309351197,0.0,0.018549071300726805,0.01065453007083399,development
2018-12-31,-0.09133705791905428,0.006477035531395059,0.0,-0.09133705791905428,0.0,-0.08804839558454713,-0.09562979580758724,development
2019-01-31,0.08460719244231042,0.004807946049392511,0.0,0.08460719244231042,0.0,0.08006550322503192,0.08773778122188888,development
2019-02-28,0.037266755514803435,0.0038624823184106524,0.0,0.037266755514803435,0.0,0.03241583013859328,0.03612897328639631,development
2019-03-29,0.01296978533406166,0.006885462506681102,0.0,0.01296978533406166,0.0,0.018101054955867557,0.006828822974204574,development
2019-04-30,0.0349749692912805,0.0022785579603932238,0.0,0.0349749692912805,0.0,0.04085209304965187,0.03390015798211108,development
2019-05-31,-0.06325880288988162,0.007576417336632002,0.0,-0.06325880288988162,0.0,-0.06377119806578568,-0.06522146344547271,development
2019-06-28,0.07196015409683566,0.0028594008721136432,0.0,0.07196015409683566,0.0,0.069586464337827,0.0734142607924622,development
2019-07-31,0.014243129042773015,0.0010449074725763022,0.0,0.014243129042773015,0.0,0.015119503324096728,0.013936471334790613,development
2019-08-30,-0.02137395909087594,0.006573594109397826,0.0,-0.02137395909087594,0.0,-0.01674334130667765,-0.025282878578054623,development
2019-09-30,0.01768429997141512,0.0049094630125327485,0.0,0.01768429997141512,0.0,0.01945772271277324,0.01910190465292947,development
2019-10-31,0.020825243451597166,0.002419274154688511,0.0,0.020825243451597166,0.0,0.0221045679077847,0.021239651821352724,development
2019-11-29,0.03927862692930429,0.0019902967062559243,0.0,0.03927862692930429,0.0,0.0361982689154019,0.03826462141022646,development
2019-12-31,0.027050589230669705,0.0016877692699594701,0.0,0.027050589230669705,0.0,0.029055813961952115,0.026982020360383177,development
2020-01-31,-0.004711525349827243,0.00822942769384416,0.0,-0.004711525349827243,0.0,-0.00040422192428568593,-0.007721783071093704,embargo
2020-02-28,-0.0827451619111475,0.0028983375828745273,0.0,-0.0827451619111475,0.0,-0.07916556751055837,-0.08383674180197015,embargo
2020-03-31,-0.13761844598002027,0.017567261977612506,0.0,-0.13761844598002027,0.0,-0.12487128331999076,-0.1504160785273533,embargo
2020-04-30,0.1230499407546267,0.0024191955967513765,0.0,0.1230499407546267,0.0,0.12698343519712463,0.1232099174881332,embargo
2020-05-29,0.053107667587639004,0.003411893798805958,0.0,0.053107667587639004,0.0,0.04764503076506532,0.052598175776136014,embargo
2020-06-30,0.016615653536125062,0.006832657063895631,0.0,0.016615653536125062,0.0,0.017734723966103427,0.02019391388834082,embargo
2020-07-31,0.04764966959664236,0.006692139771785774,0.0,0.04764966959664236,0.0,0.058892042432051595,0.04365473401994886,embargo
2020-08-31,0.06782933935110083,0.005019135057981877,0.0,0.06782933935110083,0.0,0.06979688090225,0.06529455580478812,embargo
2020-09-30,-0.03269750980159448,0.0020252672448055134,0.0,-0.03269750980159448,0.0,-0.037443462212498835,-0.03209951391115798,embargo
2020-10-30,-0.020724704766805314,0.006562991372724217,0.0,-0.020724704766805314,0.0,-0.024933795861316166,-0.016279816855726482,embargo
2020-11-30,0.1258436233136157,0.010443103291850345,0.0,0.1258436233136157,0.0,0.10877692382024007,0.13493645807638818,embargo
2020-12-31,0.041486062494797325,0.005185281642399689,0.0,0.041486062494797325,0.0,0.037048182474136215,0.04478883970782284,embargo
2021-01-29,0.0004141312458008691,0.012640969777793054,0.0,0.0004141312458008691,0.0,-0.010190277766667477,0.011781943690566201,primary_assessment
2021-02-26,0.03294995893176672,0.007893406976155412,0.0,0.03294995893176672,0.0,0.027805526149386584,0.037000010385588866,primary_assessment
2021-03-31,0.03684522999245041,0.010738658490181976,0.0,0.03684522999245041,0.0,0.04539908725544817,0.03393996042847079,primary_assessment
2021-04-30,0.04544932812036584,0.006586001473924734,0.0,0.04544932812036584,0.0,0.05291049767523215,0.04142957769514824,primary_assessment
2021-05-28,0.007259778626217795,0.00373573122217407,0.0,0.007259778626217795,0.0,0.006566134515362698,0.007459694053752488,primary_assessment
2021-06-30,0.020393235986071477,0.0051026036585823525,0.0,0.020393235986071477,0.0,0.02242752952928151,0.015481592572931024,primary_assessment
2021-07-30,0.013834598573333176,0.009362569499509005,0.0,0.013834598573333176,0.0,0.02441242622480133,0.004841773401714588,primary_assessment
2021-08-31,0.027427159194916076,0.003113907280017217,0.0,0.027427159194916076,0.0,0.02975971568896907,0.025794220754280284,primary_assessment
2021-09-30,-0.04738951689817206,0.0064682621179427,0.0,-0.04738951689817206,0.0,-0.04660548715330004,-0.041969082018109026,primary_assessment
2021-10-29,0.06619122459219319,0.007676022497109011,0.0,0.06619122459219319,0.0,0.07016355102796479,0.06010174371368749,primary_assessment
