period,signal,strategy,cost_bps,n_months,alpha_annualized,alpha_hac_t_stat,alpha_p_value,r_squared,minimum_required_months,inference_eligible,test_family,beta_mktrf,beta_smb,beta_hml,beta_rmw,beta_cma,beta_umd,alpha_p_holm,alpha_significant_5pct
retrospective,COMPOSITE,continuous_long_short,0.0,419,0.018436025670982674,1.9145004788841482,0.05555623800158561,0.7424554994717283,24,True,exploratory,-0.10958932917962959,0.1454710213459638,0.23785704826597756,0.583380664462309,0.2505500813901636,0.13379040298410133,1.0,False
retrospective,COMPOSITE,continuous_long_short,10.0,419,0.010607455092654247,1.1005491087567487,0.2710929450696361,0.7421634797033219,24,True,primary,-0.1098432106682531,0.14537596205821976,0.23798768516677493,0.5827696750973907,0.2499521720884095,0.1339245956319631,0.2710929450696361,False
retrospective,COMPOSITE,continuous_long_short,25.0,419,-0.0011354007748384147,-0.1176160009004176,0.9063719260642236,0.7416385615907026,24,True,exploratory,-0.11022403290118835,0.1452333731266039,0.23818364051797108,0.5818531910500145,0.24905530813577842,0.13412588460375585,1.0,False
retrospective,COMPOSITE,long_only,0.0,419,-2.5801877740276884e-05,-0.003339711230369851,0.9973353009252783,0.9366788832376934,24,True,exploratory,1.0135016240418855,0.38589486234398745,0.15697224941109533,0.2294983352997976,0.033475897876328084,0.009603797413535706,1.0,False
retrospective,COMPOSITE,long_only,10.0,419,-0.0048352017320265105,-0.6255751580757402,0.5315936370963474,0.9367222852484465,24,True,exploratory,1.0134849700375994,0.38567586685122196,0.15717817106345952,0.22902966231434743,0.033027995528780066,0.009696044031268915,1.0,False
retrospective,COMPOSITE,long_only,25.0,419,-0.012049301513455875,-1.5576757815639488,0.11931012434942354,0.9367754610608039,24,True,exploratory,1.0134599890311706,0.3853473736120737,0.15748705354200593,0.22832665283617232,0.032356142007457865,0.009834413957868705,1.0,False
retrospective,COMPOSITE,long_short,0.0,419,0.016962367952939383,1.6629822330977027,0.09631599199119281,0.7005281773511816,24,True,exploratory,-0.11154372128271021,0.2030006799936118,0.22911039087294313,0.5539339301440186,0.19727607167178376,0.15032968936604774,1.0,False
retrospective,COMPOSITE,long_short,10.0,419,0.008273533756809111,0.8102474838204101,0.41779795169539213,0.7002655721469264,24,True,exploratory,-0.1117359635257787,0.2027721222264257,0.2293652209629955,0.5532749204805821,0.19652696933374822,0.15041920469247524,1.0,False
retrospective,COMPOSITE,long_short,25.0,419,-0.004759717537386299,-0.465260002417219,0.6417452742359957,0.699769813236143,24,True,exploratory,-0.11202432689038148,0.20242928557564654,0.2297474660980738,0.5522864059854277,0.195403315826695,0.1505534776821165,1.0,False
retrospective,INVESTMENT,continuous_long_short,0.0,419,0.02168083398493838,2.369692252560759,0.01780289674397364,0.620509983556931,24,True,exploratory,-0.06595053026537148,-0.006503416825348614,0.14406890002099743,0.25993403657734965,0.5020522626878812,0.002611764329101393,0.9791593209185503,False
