date,period,signal,strategy,cost_bps,gross_return,net_return,turnover,benchmark_return,universe_size,long_count,short_count
1990-01-31,retrospective,COMPOSITE,continuous_long_short,0.0,-0.004934956154951182,-0.004934956154951182,2.0,0.01557479152140345,976,520,456
1990-01-31,retrospective,COMPOSITE,continuous_long_short,10.0,-0.004934956154951182,-0.006934956154951182,2.0,0.01557479152140345,976,520,456
1990-01-31,retrospective,COMPOSITE,continuous_long_short,25.0,-0.004934956154951182,-0.009934956154951182,2.0,0.01557479152140345,976,520,456
1990-01-31,retrospective,COMPOSITE,long_only,0.0,0.01936236665718087,0.01936236665718087,1.0000000000000002,0.01557479152140345,976,195,0
1990-01-31,retrospective,COMPOSITE,long_only,10.0,0.01936236665718087,0.01836236665718087,1.0000000000000002,0.01557479152140345,976,195,0
1990-01-31,retrospective,COMPOSITE,long_only,25.0,0.01936236665718087,0.01686236665718087,1.0000000000000002,0.01557479152140345,976,195,0
1990-01-31,retrospective,COMPOSITE,long_short,0.0,-0.004090303035689253,-0.004090303035689253,2.0000000000000004,0.01557479152140345,976,195,195
1990-01-31,retrospective,COMPOSITE,long_short,10.0,-0.004090303035689253,-0.006090303035689254,2.0000000000000004,0.01557479152140345,976,195,195
1990-01-31,retrospective,COMPOSITE,long_short,25.0,-0.004090303035689253,-0.009090303035689255,2.0000000000000004,0.01557479152140345,976,195,195
1990-01-31,retrospective,INVESTMENT,continuous_long_short,0.0,-0.005942788899258228,-0.005942788899258228,2.0,0.01530558820001322,951,616,335
1990-01-31,retrospective,INVESTMENT,continuous_long_short,10.0,-0.005942788899258228,-0.007942788899258228,2.0,0.01530558820001322,951,616,335
1990-01-31,retrospective,INVESTMENT,continuous_long_short,25.0,-0.005942788899258228,-0.010942788899258229,2.0,0.01530558820001322,951,616,335
1990-01-31,retrospective,INVESTMENT,long_only,0.0,0.015792215719213572,0.015792215719213572,1.0000000000000004,0.01530558820001322,951,190,0
1990-01-31,retrospective,INVESTMENT,long_only,10.0,0.015792215719213572,0.014792215719213572,1.0000000000000004,0.01530558820001322,951,190,0
1990-01-31,retrospective,INVESTMENT,long_only,25.0,0.015792215719213572,0.01329221571921357,1.0000000000000004,0.01530558820001322,951,190,0
