period,factor,horizon_months,mean_ic,ic_std,icir,hac_t_stat,p_value,bootstrap_ci_lower,bootstrap_ci_upper,hit_rate,n_months,test_family,primary_hypothesis,p_holm,minimum_required_months,inference_eligible,significant_5pct
retrospective,COMPOSITE,1,0.014579439285541779,0.0786779567046451,0.18530526078953213,3.724736311307651,0.0001955194856798964,0.005974312151372355,0.025114636968654427,0.5704057279236276,419,exploratory,False,0.003910389713597928,24,True,True
retrospective,COMPOSITE,3,0.022275313615439635,0.08079299400343685,0.2757084805458759,3.773388433054784,0.00016104525414014335,0.006625620747557813,0.03740864482169056,0.5947242206235012,417,exploratory,False,0.0033819503369430103,24,True,True
retrospective,COMPOSITE,6,0.031723763816316336,0.08454853298916505,0.3752136517895793,3.5758220318046794,0.0003491291099399215,0.010640999983009828,0.0539923013063192,0.644927536231884,414,exploratory,False,0.0059351948689786655,24,True,True
retrospective,COMPOSITE,12,0.042245161502654366,0.09048139274430671,0.466893360296032,3.1848441889817534,0.0014483196531260725,0.018453080591018065,0.06871513217153256,0.6666666666666666,408,primary,True,0.010138237571882508,24,True,True
retrospective,INVESTMENT,1,0.002016015147403414,0.05312550680502156,0.03794815840162216,0.748955881144036,0.45388379746744156,-0.0030233134192674256,0.006961983692361554,0.5298329355608592,419,exploratory,False,1.0,24,True,False
retrospective,INVESTMENT,3,0.004055172255777975,0.05423091850331,0.07477602016883536,1.0586880675632762,0.2897418639312008,-0.004290397644525294,0.012150117314262443,0.5251798561151079,417,exploratory,False,1.0,24,True,False
retrospective,INVESTMENT,6,0.00897341368139587,0.05436401433128475,0.16506164586583807,1.7616099722977712,0.07813521788577849,-0.0016034757465542566,0.020417267497243353,0.5434782608695652,414,exploratory,False,0.9376226146293418,24,True,False
retrospective,INVESTMENT,12,0.01578130643455158,0.052698681943940874,0.29946301980264356,2.2461264436670527,0.024695909999898326,0.0022665840425076327,0.029882560795005095,0.5882352941176471,408,primary,True,0.0987836399995933,24,True,False
retrospective,LV,1,0.00922717640905497,0.11520283945667274,0.08009504325216975,1.6123300093308623,0.10689014639524269,-0.002013350498665735,0.02134331231823346,0.5274463007159904,419,exploratory,False,1.0,24,True,False
retrospective,LV,3,0.015287583900512929,0.11460026753861646,0.13339919904952685,1.8811591663709253,0.05995027050931696,-0.0028623309636683822,0.03550193442558142,0.5251798561151079,417,exploratory,False,0.7793535166211204,24,True,False
retrospective,LV,6,0.028749590124070946,0.11496195773279214,0.25007916262955493,2.46681838710322,0.013631947803877675,0.002116641445398265,0.05640169182057733,0.5869565217391305,414,exploratory,False,0.20447921705816513,24,True,False
retrospective,LV,12,0.045380492301401336,0.11951108008146644,0.37971786607958924,2.722832706368254,0.006472482440184671,0.013448547046782777,0.08054199426149268,0.6274509803921569,408,primary,True,0.032362412200923354,24,True,True
retrospective,MOM,1,0.011157580328124618,0.10913380081751307,0.10223762248308063,2.0744457261182596,0.03803793435893729,0.000941892500598576,0.021373663301143573,0.5656324582338902,419,exploratory,False,0.532531081025122,24,True,False
retrospective,MOM,3,0.012539475615190516,0.10868667295608736,0.11537270646104732,1.60217863025378,0.10911611419484028,-0.0067390340536540435,0.029530648363039418,0.5635491606714629,417,exploratory,False,1.0,24,True,False
retrospective,MOM,6,0.012918895594451004,0.11095661257526615,0.11643195745262698,1.166716069669341,0.243325051040732,-0.012414701311067596,0.03461495508592925,0.5845410628019324,414,primary,True,0.2892676696420657,24,True,False
retrospective,MOM,12,0.006853838616422998,0.10201496875106655,0.0671846367286305,0.5579018207936514,0.576911428127472,-0.01668402589625589,0.029223848735897742,0.6053921568627451,408,exploratory,False,1.0,24,True,False
retrospective,QUALITY,1,0.011832208227832434,0.06191434998240653,0.1911060720365255,3.6582891943314175,0.0002539044570818837,0.005068628808071088,0.018932996257824984,0.5417661097852029,419,exploratory,False,0.004676157610016145,24,True,True
retrospective,QUALITY,3,0.01765084821634237,0.06645759510334089,0.2655956507137443,3.666270533747406,0.00024611355842190237,0.005871983235568655,0.028714376793327816,0.5635491606714629,417,exploratory,False,0.004676157610016145,24,True,True
retrospective,QUALITY,6,0.02265925348698672,0.06916377825085289,0.32761734624738054,3.2207722775984347,0.0012784568804951294,0.007615485602556523,0.03888340980092156,0.5845410628019324,414,exploratory,False,0.02045531008792207,24,True,True
retrospective,QUALITY,12,0.029931572633685934,0.07405028758309905,0.40420602823583635,2.879643589948297,0.003981249579104065,0.009559340304425607,0.04980693748111199,0.6421568627450981,408,primary,True,0.02388749747462439,24,True,True
retrospective,SIZE,1,-0.00429636574174745,0.08883235769298155,-0.048364873491215425,-1.0321138583561071,0.30201878248683145,-0.012273014319860278,0.0033239396387904894,0.4916467780429594,419,exploratory,False,1.0,24,True,False
