period,signal,strategy,cost_bps,n_months,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_monthly_turnover,benchmark_cagr,information_ratio_vs_benchmark,alpha_annualized,beta
development,MOM,long_only,10.0,168,0.12161588410045376,0.18562065723584162,0.713403690952669,-0.26591259119682287,0.6130952380952381,0.518845750900505,0.13694774174100477,-0.10138972910849252,-0.025417112826047104,1.1248019031864076
development,MOM,long_only,25.0,168,0.11127854238459656,0.18557955681870744,0.6632370536003624,-0.2807049609115557,0.6071428571428571,0.518845750900505,0.13694774174100477,-0.22123820862555243,-0.03471761791770633,1.1245259865940507
development,MOM,long_short,0.0,168,0.019807268887784835,0.09884196323215677,0.2482264328489913,-0.20449878149379752,0.5357142857142857,1.040168802790419,0.13694774174100477,-0.5882865912837442,0.04388324964978528,-0.13787883456730776
development,MOM,long_short,10.0,168,0.007166377376914834,0.09883938747827009,0.12194695478130425,-0.24580458785001236,0.5119047619047619,1.040168802790419,0.13694774174100477,-0.6516153477104422,0.031434797349349834,-0.13811808602851255
development,MOM,long_short,25.0,168,-0.011526347994950448,0.09884061236666035,-0.06748112921498782,-0.3448030460821002,0.4880952380952381,1.040168802790419,0.13694774174100477,-0.746567089519369,0.012762118898696656,-0.1384769632203198
development,QUALITY,long_only,0.0,168,0.14687033028566687,0.16846838359042243,0.9013604403400359,-0.2787653110323628,0.6190476190476191,0.12294895888337223,0.13568545752836592,0.24453780726426166,0.0032888741321353,1.0675506188663315
development,QUALITY,long_only,10.0,168,0.1452039438156041,0.16842997780034236,0.8928063214975448,-0.27965855156472474,0.6190476190476191,0.12294895888337223,0.13568545752836592,0.21621634143665874,0.0018447722706070868,1.0673258033635844
development,QUALITY,long_only,25.0,168,0.14270828935349855,0.1683736858558634,0.879960944590657,-0.2810435056109517,0.6130952380952381,0.12294895888337223,0.13568545752836592,0.17366513979204545,-0.0003213805216852536,1.0669885801094636
development,QUALITY,long_short,0.0,168,0.034454629519378166,0.0645355458671152,0.5575806215908876,-0.14346429513286696,0.5476190476190477,0.29304955055370596,0.13568545752836592,-0.5687108707406577,0.05479475996056941,-0.13517388581922557
development,QUALITY,long_short,10.0,168,0.030833313860570977,0.06452107976949788,0.5032026012062744,-0.15071080524805058,0.5357142857142857,0.29304955055370596,0.13568545752836592,-0.587911281589889,0.05134688348605769,-0.135667687413778
development,QUALITY,long_short,25.0,168,0.02542206827830329,0.0645154825073533,0.4214846143262254,-0.16175135261121298,0.5178571428571429,0.29304955055370596,0.13568545752836592,-0.6166701887946365,0.04617506877429007,-0.1364083898056063
development,SIZE,long_only,0.0,168,0.11468296334037764,0.1952028905126042,0.6563834534365124,-0.3243258291942328,0.625,0.3147707664102137,0.13542611244590552,-0.13495952399275837,-0.03762609561159605,1.192261923299035
development,SIZE,long_only,10.0,168,0.11051870648597584,0.1951635750096548,0.6371614077697559,-0.3281817398657023,0.625,0.3147707664102137,0.13542611244590552,-0.18179573035154722,-0.041368493670196224,1.1920112405135561
development,SIZE,long_only,25.0,168,0.10429890666669661,0.1951053116364984,0.6083116005794266,-0.3339266089582502,0.625,0.3147707664102137,0.13542611244590552,-0.25209732206785307,-0.046982090758096465,1.1916352163353374
development,SIZE,long_short,0.0,168,-0.008230746569771963,0.07467628932433783,-0.07346234172114441,-0.2809371420092871,0.5178571428571429,0.39296357327764364,0.13542611244590552,-1.0413257979090467,-0.03330772909308994,0.2001212925044966
development,SIZE,long_short,10.0,168,-0.012898013776452166,0.07462656436524162,-0.13670008864691569,-0.3123191301710512,0.5,0.39296357327764364,0.13542611244590552,-1.0750712164519665,-0.037975086936690994,0.19977455569150365
development,SIZE,long_short,25.0,168,-0.01986162468107988,0.07455825330826729,-0.23169537263321827,-0.3635144154057658,0.4880952380952381,0.39296357327764364,0.13542611244590552,-1.1256342876103071,-0.044976123702092564,0.19925445047201434
development,VALUE,long_only,0.0,168,0.11783942020028593,0.2106181800456422,0.6381189466839727,-0.3829335455323928,0.6369047619047619,0.20365430728810338,0.135737132549393,-0.048730471998007806,-0.04112348045864745,1.2606184195446648
development,VALUE,long_only,10.0,168,0.11514068647257103,0.2105727410861877,0.6266509085416411,-0.3833195153768978,0.6369047619047619,0.20365430728810338,0.135737132549393,-0.073370935280869,-0.04352125868570119,1.260287516612
development,VALUE,long_only,25.0,168,0.11110359260817981,0.21050545740249035,0.6094370358260351,-0.38389817402486626,0.625,0.20365430728810338,0.135737132549393,-0.1103488911578034,-0.04711792602628182,1.2597911622130031
