implementation,n_months,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_monthly_turnover,benchmark_cagr,information_ratio_vs_benchmark,alpha_annualized,beta,overlay_information_ratio,alpha_hac_t_stat,alpha_p_value,residual_volatility_annualized,factor_residual_information_ratio,r_squared
baseline,47,0.05740798018896309,0.10736785132452603,0.5734333349299204,-0.15284219902500873,0.6382978723404256,0.6268362483442278,0.13032718412221866,-0.32522396976677326,-0.013805267955290806,-0.27619695772942937,0.5734333349299204,-0.4980031891194742,0.6184817943877298,0.047892741375819954,-0.2882538680957778,0.8010285020592025
v3,47,0.027876090005178433,0.08298138704391707,0.3723971503274692,-0.11375025376697656,0.5957446808510638,0.948006520505533,0.12256513142191738,-0.4613802776409582,-0.014201484253960329,-0.06271761565606211,0.3723971503274692,-0.3659504847796261,0.7144020238781301,0.07124493005433137,-0.1993332612317856,0.2628658203037971
v4,47,0.05305521084816189,0.07905612806346278,0.694091507777083,-0.12391022166986987,0.5957446808510638,0.5613129754349231,0.14131577752290547,-0.46285939150213684,-0.001559722660059262,-0.04267678366135611,0.694091507777083,-0.04660495054394118,0.9628280863562694,0.06453925368165599,-0.02416703898921258,0.33353584264295477
