period,score,horizon_months,months,mean_rank_ic,rank_ic_std,icir,hac_t_stat,p_value,positive_month_fraction
development,COMPOSITE,1,120,0.006882429894111739,0.06935937944859344,0.09922853907902589,1.0895953787492971,0.2758914196507639,0.5666666666666667
development,COMPOSITE,3,120,0.009624915773448896,0.06794981426339648,0.14164741843354367,1.1230584035759992,0.26141269085933305,0.5166666666666667
development,COMPOSITE,6,120,0.015838698919508346,0.06388596980993048,0.24792139755615586,1.3705444827506348,0.17051699962476707,0.6166666666666667
development,COMPOSITE,12,120,0.01982170466808716,0.07193194157636107,0.27556193025938214,1.0613686242938511,0.2885224100190692,0.6166666666666667
development,V4_SCORE,1,120,0.012268823399990175,0.10903770678939906,0.11251908868265911,1.2587038081087703,0.20813733543329027,0.5416666666666666
development,V4_SCORE,3,120,0.022579426216939178,0.10804389794267431,0.20898381719733325,1.6528760129244635,0.09835609988144572,0.5833333333333334
development,V4_SCORE,6,120,0.041313958187698556,0.09665175714495926,0.4274517029807898,2.447957558696996,0.014366857760960234,0.6583333333333333
development,V4_SCORE,12,120,0.06126714567163075,0.09446796518935441,0.6485494373550341,2.6349007199710983,0.008416189570393681,0.75
temporal_assessment,COMPOSITE,1,47,0.0159259736294931,0.08197397574448305,0.1942808493165581,1.3281467238557434,0.1841296404791819,0.574468085106383
temporal_assessment,COMPOSITE,3,45,0.022606641741989807,0.08080820056494604,0.2797567769600402,1.3549182073609838,0.17544361799950514,0.6444444444444445
temporal_assessment,COMPOSITE,6,42,0.030424224183864184,0.07299602012839118,0.41679291734469426,1.4102856597680185,0.15845535113101772,0.6666666666666666
temporal_assessment,COMPOSITE,12,36,0.02765492843237184,0.0690383829358185,0.40057323558811087,0.973516643160593,0.3302965925742015,0.6111111111111112
temporal_assessment,V4_SCORE,1,47,0.02918395174488327,0.11227693871773049,0.2599282816060126,1.8476038974631095,0.06465966547955458,0.6595744680851063
temporal_assessment,V4_SCORE,3,45,0.044658846195638494,0.08808175187548746,0.5070158715595068,2.7893916541286052,0.005280716203303289,0.7333333333333333
temporal_assessment,V4_SCORE,6,42,0.05866678991112173,0.060468482102384535,0.9702044415764861,3.9040988080193872,9.457713826548797e-05,0.8333333333333334
temporal_assessment,V4_SCORE,12,36,0.05603158588154303,0.0515348320459452,1.087256592426435,3.5018865174054272,0.00046197634435450174,0.8333333333333334
