date,period,strategy,aum_usd,borrow_bps,gross_return,net_return,turnover,benchmark_return,universe_size,long_count,short_count,gross_exposure,net_exposure,beta_exposure,size_exposure,maximum_sector_net_exposure,maximum_absolute_weight,effective_breadth,median_spread_bps,median_adv_usd,spread_cost,impact_cost,borrow_cost,total_cost,maximum_adv_participation,capacity_breaches,risk_observations,risk_universe,solver,solver_status,eligible_names,buffered_holdings,minimum_position_cap
2010-01-29,development,v4_hysteresis,10000000.0,50.0,0.02456283903863039,0.022684687336868844,1.9999998395099206,0.03924197324814053,500,78,78,1.9999998395099206,2.1377758618879028e-08,0.03737058032174123,0.0223277016530158,0.040000008111121366,0.01999999979571303,117.27399322589467,5.572224212182477,41347399.5,0.0011913679114577175,0.00027011716152629435,0.00041666662877753373,0.0018781517017615456,0.009999999773383126,0,252,500,CLARABEL,optimal,200,0,0.00048728700000000004
2010-01-29,development,v4_hysteresis,10000000.0,150.0,0.02456283903863039,0.021851354079313778,1.9999998395099206,0.03924197324814053,500,78,78,1.9999998395099206,2.1377758618879028e-08,0.03737058032174123,0.0223277016530158,0.040000008111121366,0.01999999979571303,117.27399322589467,5.572224212182477,41347399.5,0.0011913679114577175,0.00027011716152629435,0.0012499998863326012,0.0027114849593166132,0.009999999773383126,0,252,500,CLARABEL,optimal,200,0,0.00048728700000000004
2010-01-29,development,v4_hysteresis,10000000.0,300.0,0.02456283903863039,0.020601354192981175,1.9999998395099206,0.03924197324814053,500,78,78,1.9999998395099206,2.1377758618879028e-08,0.03737058032174123,0.0223277016530158,0.040000008111121366,0.01999999979571303,117.27399322589467,5.572224212182477,41347399.5,0.0011913679114577175,0.00027011716152629435,0.0024999997726652024,0.003961484845649214,0.009999999773383126,0,252,500,CLARABEL,optimal,200,0,0.00048728700000000004
2010-01-29,development,v4_hysteresis,100000000.0,50.0,0.02456283903863039,0.022100619032872443,1.9999998395099206,0.03924197324814053,500,78,78,1.9999998395099206,2.1377758618879028e-08,0.03737058032174123,0.0223277016530158,0.040000008111121366,0.01999999979571303,117.27399322589467,5.572224212182477,41347399.5,0.0011913679114577175,0.0008541854655226943,0.00041666662877753373,0.0024622200057579455,0.09999999773383127,0,252,500,CLARABEL,optimal,200,0,0.00048728700000000004
2010-01-29,development,v4_hysteresis,100000000.0,150.0,0.02456283903863039,0.021267285775317377,1.9999998395099206,0.03924197324814053,500,78,78,1.9999998395099206,2.1377758618879028e-08,0.03737058032174123,0.0223277016530158,0.040000008111121366,0.01999999979571303,117.27399322589467,5.572224212182477,41347399.5,0.0011913679114577175,0.0008541854655226943,0.0012499998863326012,0.0032955532633130126,0.09999999773383127,0,252,500,CLARABEL,optimal,200,0,0.00048728700000000004
2010-01-29,development,v4_hysteresis,100000000.0,300.0,0.02456283903863039,0.020017285888984777,1.9999998395099206,0.03924197324814053,500,78,78,1.9999998395099206,2.1377758618879028e-08,0.03737058032174123,0.0223277016530158,0.040000008111121366,0.01999999979571303,117.27399322589467,5.572224212182477,41347399.5,0.0011913679114577175,0.0008541854655226943,0.0024999997726652024,0.004545553149645614,0.09999999773383127,0,252,500,CLARABEL,optimal,200,0,0.00048728700000000004
2010-01-29,development,v4_hysteresis,500000000.0,50.0,0.02456283903863039,0.021044787732094093,1.9999998395099206,0.03924197324814053,500,78,78,1.9999998395099206,2.1377758618879028e-08,0.03737058032174123,0.0223277016530158,0.040000008111121366,0.01999999979571303,117.27399322589467,5.572224212182477,41347399.5,0.0011913679114577175,0.0019100167663010472,0.00041666662877753373,0.0035180513065362984,0.49999998866915635,82,252,500,CLARABEL,optimal,200,0,0.00048728700000000004
2010-01-29,development,v4_hysteresis,500000000.0,150.0,0.02456283903863039,0.020211454474539023,1.9999998395099206,0.03924197324814053,500,78,78,1.9999998395099206,2.1377758618879028e-08,0.03737058032174123,0.0223277016530158,0.040000008111121366,0.01999999979571303,117.27399322589467,5.572224212182477,41347399.5,0.0011913679114577175,0.0019100167663010472,0.0012499998863326012,0.0043513845640913654,0.49999998866915635,82,252,500,CLARABEL,optimal,200,0,0.00048728700000000004
2010-01-29,development,v4_hysteresis,500000000.0,300.0,0.02456283903863039,0.018961454588206424,1.9999998395099206,0.03924197324814053,500,78,78,1.9999998395099206,2.1377758618879028e-08,0.03737058032174123,0.0223277016530158,0.040000008111121366,0.01999999979571303,117.27399322589467,5.572224212182477,41347399.5,0.0011913679114577175,0.0019100167663010472,0.0024999997726652024,0.005601384450423966,0.49999998866915635,82,252,500,CLARABEL,optimal,200,0,0.00048728700000000004
2010-02-26,development,v4_hysteresis,10000000.0,50.0,-0.0018045766734718117,-0.0027520734778406623,0.749999587637,0.0673264685954196,500,81,87,1.9999999406682396,-9.285041721596166e-09,0.03301730495623517,0.049999995586418725,0.03999999767716205,0.020000000526428675,121.42108384427448,5.491186910355739,40473886.5,0.00045474090464691204,7.60892434816716e-05,0.00041666665624026693,0.0009474968043688505,0.008835571657215158,0,252,500,CLARABEL,optimal,241,41,0.0005001570000000001
