period,strategy,aum_usd,borrow_bps,n_months,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_monthly_turnover,benchmark_cagr,information_ratio_vs_benchmark,alpha_annualized,beta,mean_spread_cost,mean_impact_cost,mean_borrow_cost,maximum_adv_participation,capacity_breaches
development,v4_hysteresis,10000000.0,50.0,132,0.04618437072002535,0.07991063727657453,0.6056668201477998,-0.1550620778865318,0.6212121212121212,0.5757469761816756,0.14891093053381033,-0.5586866083361612,0.0611726215502943,-0.08443357223993667,0.0002345322023644551,6.839088315355375e-05,0.0004166666598430946,0.011481531355662973,0
development,v4_hysteresis,10000000.0,150.0,132,0.03580655051822723,0.0799106372783981,0.48052703678579195,-0.17186445954139296,0.5909090909090909,0.5757469761816756,0.14891093053381033,-0.6129890747828989,0.051172621710894435,-0.08443357221901165,0.0002345322023644551,6.839088315355375e-05,0.0012499999795292838,0.011481531355662973,0
development,v4_hysteresis,10000000.0,300.0,132,0.020416649938353792,0.07991063728113346,0.2928173617534887,-0.19855582623991264,0.5833333333333334,0.5757469761816756,0.14891093053381033,-0.69444277445509,0.03617262195179462,-0.08443357218762415,0.0002345322023644551,6.839088315355375e-05,0.0024999999590585675,0.011481531355662973,0
development,v4_hysteresis,100000000.0,50.0,132,0.044335402678576274,0.07991570098882621,0.583423032680159,-0.1572556275454715,0.6136363636363636,0.5757469761816756,0.14891093053381033,-0.568252746505266,0.0594223622223751,-0.08459420859346468,0.0002345322023644551,0.00021627096195566903,0.0004166666598430946,0.11481531355662973,75
development,v4_hysteresis,100000000.0,150.0,132,0.03397440225798998,0.0799157009906088,0.45829117857242346,-0.17466700791498835,0.5909090909090909,0.5757469761816756,0.14891093053381033,-0.6225485087255468,0.049422362382975205,-0.08459420857253966,0.0002345322023644551,0.00021627096195566903,0.0012499999795292838,0.11481531355662973,75
development,v4_hysteresis,100000000.0,300.0,132,0.0186094706634774,0.07991570099328264,0.27059339742128724,-0.2012714618686946,0.5757575757575758,0.5757469761816756,0.14891093053381033,-0.7039921520580709,0.03442236262387538,-0.08459420854115214,0.0002345322023644551,0.00021627096195566903,0.0024999999590585675,0.11481531355662973,75
development,v4_hysteresis,500000000.0,50.0,132,0.041000468829557546,0.07992630850637238,0.5432097905505356,-0.16160965447367914,0.6136363636363636,0.5757469761816756,0.14891093053381033,-0.5855376586973657,0.05625838538909739,-0.0848845939626711,0.0002345322023644551,0.00048359657249214677,0.0004166666598430946,0.5740765677831486,3009
development,v4_hysteresis,500000000.0,150.0,132,0.030669811954116,0.07992630850808081,0.4180945434707675,-0.17971018250208504,0.5909090909090909,0.5757469761816756,0.14891093053381033,-0.6398211218983029,0.04625838554969751,-0.08488459394174608,0.0002345322023644551,0.00048359657249214677,0.0012499999795292838,0.5740765677831486,3009
development,v4_hysteresis,500000000.0,300.0,132,0.015349925293303812,0.07992630851064346,0.23042167286114404,-0.20615820921987094,0.5757575757575758,0.5757469761816756,0.14891093053381033,-0.7212463167018447,0.0312583857905977,-0.0848845939103586,0.0002345322023644551,0.00048359657249214677,0.0024999999590585675,0.5740765677831486,3009
full_retrospective,v4_hysteresis,10000000.0,50.0,179,0.05120294816609183,0.07948245980178892,0.6690560102891792,-0.1550620778865318,0.6145251396648045,0.5719570430247071,0.14691179282129507,-0.5165148570370017,0.0638707757433619,-0.0710152571187068,0.00024838245684634695,6.791861639533509e-05,0.0004166666597991767,0.011481531355662973,0
full_retrospective,v4_hysteresis,10000000.0,150.0,179,0.04077950457659396,0.07948245980376593,0.5432420903225355,-0.17186445954139296,0.5921787709497207,0.5719570430247071,0.14691179282129507,-0.5695512058012955,0.05387077590495665,-0.07101525709728775,0.00024838245684634695,6.791861639533509e-05,0.0012499999793975302,0.011481531355662973,0
full_retrospective,v4_hysteresis,10000000.0,300.0,179,0.02532187555371923,0.07948245980673146,0.3545212103843054,-0.19855582623991264,0.5865921787709497,0.5719570430247071,0.14691179282129507,-0.6491057289499249,0.038870776147348796,-0.07101525706515925,0.00024838245684634695,6.791861639533509e-05,0.0024999999587950604,0.011481531355662973,0
full_retrospective,v4_hysteresis,100000000.0,50.0,179,0.04935737985777178,0.07950301458386984,0.6467164902963622,-0.1572556275454715,0.6089385474860335,0.5719570430247071,0.14691179282129507,-0.5258092266543201,0.062119643589166426,-0.07108947474164407,0.00024838245684634695,0.00021477752333651397,0.0004166666597991767,0.11481531355662973,84
full_retrospective,v4_hysteresis,100000000.0,150.0,179,0.03895071735035183,0.07950301458581664,0.5209350983763724,-0.17466700791498835,0.5921787709497207,0.5719570430247071,0.14691179282129507,-0.5788403043971263,0.05211964375076118,-0.07108947472022505,0.00024838245684634695,0.00021477752333651397,0.0012499999793975302,0.11481531355662973,84
full_retrospective,v4_hysteresis,100000000.0,300.0,179,0.023517999984171478,0.07950301458873682,0.3322630105079379,-0.2012714618686946,0.5810055865921788,0.5719570430247071,0.14691179282129507,-0.6583869210135364,0.03711964399315332,-0.07108947468809652,0.00024838245684634695,0.00021477752333651397,0.0024999999587950604,0.11481531355662973,84
