period,strategy,cost_bps,n_months,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_monthly_turnover,benchmark_cagr,information_ratio_vs_benchmark,alpha_annualized,beta
retrospective,baseline_continuous_long_short,0.0,419,0.04929891475843995,0.09626912121135343,0.5482446513994811,-0.256317414194255,0.5751789976133651,0.6569061063494032,0.11065465477071323,-0.30241236887722617,0.08682484804181823,-0.29190191181529457
retrospective,baseline_continuous_long_short,10.0,419,0.041088676880511654,0.09624948729166845,0.46645606938985035,-0.2661788335778469,0.5584725536992841,0.6569061063494032,0.11065465477071323,-0.3397368778451288,0.07895730381182849,-0.29203333993937464
retrospective,baseline_continuous_long_short,25.0,419,0.028883119485786146,0.09622575423743888,0.3436901884599973,-0.33541246604124786,0.5393794749403341,0.6569061063494032,0.11065465477071323,-0.39571548554979435,0.06715598746684387,-0.2922304821254948
retrospective,risk_neutral,0.0,419,0.053587209110766754,0.09369654825645993,0.6050688317338399,-0.2713189727426325,0.5894988066825776,0.7437446857314077,0.11065465477071323,-0.2883001159373814,0.08846631323981523,-0.2724191165763061
retrospective,risk_neutral,10.0,419,0.04426163886650847,0.09366950568716761,0.5099623875649072,-0.2736974170415374,0.5656324582338902,0.7437446857314077,0.11065465477071323,-0.33123773828312864,0.07954678286900348,-0.2724654653028994
retrospective,risk_neutral,25.0,419,0.030414304701757766,0.09363701730713728,0.36716804323568236,-0.2833592378385844,0.5178997613365155,0.7437446857314077,0.11065465477071323,-0.3956428258831099,0.06616748731278589,-0.27253498839278945
retrospective,risk_turnover_managed,0.0,419,0.04744346110083697,0.08566887023949307,0.5844729284369394,-0.2189652823259497,0.5918854415274463,0.3844224442544158,0.11065465477071323,-0.3271092890529854,0.08085004699498119,-0.2638921267538185
retrospective,risk_turnover_managed,10.0,419,0.042638468293214604,0.08566924220181941,0.5306229513110164,-0.2251870714367996,0.5751789976133651,0.3844224442544158,0.11065465477071323,-0.3497843047858898,0.07623359023212631,-0.26386308360258315
retrospective,risk_turnover_managed,25.0,419,0.035468568334681816,0.08567295518290555,0.44983229602447333,-0.234432183232119,0.5560859188544153,0.3844224442544158,0.11065465477071323,-0.3837955876494487,0.069308905087844,-0.2638195188757301
retrospective,risk_turnover_vol_scaled,0.0,419,0.03780576147722159,0.07412910966368458,0.5383574802475684,-0.22491964446992863,0.5918854415274463,0.40520128147479645,0.11065465477071323,-0.39536061472661965,0.06571302070306312,-0.22124733555848353
retrospective,risk_turnover_vol_scaled,10.0,419,0.03278183343379926,0.07417194907030174,0.47249055408564805,-0.23205268870387274,0.5751789976133651,0.40520128147479645,0.11065465477071323,-0.42031437088097506,0.06088160149441116,-0.22151309040698197
retrospective,risk_turnover_vol_scaled,25.0,419,0.025287276016553895,0.0742420127991861,0.3738034732754072,-0.2426365130667013,0.5560859188544153,0.40520128147479645,0.11065465477071323,-0.45771718184492693,0.05363447268143323,-0.22191172267972994
