strategy,n_months,mean_gross_exposure,mean_abs_gross_exposure,max_abs_gross_exposure,mean_net_exposure,mean_abs_net_exposure,max_abs_net_exposure,mean_beta_exposure,mean_abs_beta_exposure,max_abs_beta_exposure,mean_size_exposure,mean_abs_size_exposure,max_abs_size_exposure,mean_maximum_sector_net_exposure,mean_abs_maximum_sector_net_exposure,max_abs_maximum_sector_net_exposure,mean_maximum_absolute_weight,mean_abs_maximum_absolute_weight,max_abs_maximum_absolute_weight,mean_effective_breadth,mean_abs_effective_breadth,max_abs_effective_breadth,mean_leverage_multiplier,mean_abs_leverage_multiplier,max_abs_leverage_multiplier,mean_risk_feature_coverage,mean_abs_risk_feature_coverage,max_abs_risk_feature_coverage
risk_neutral,419,2.0,2.0,2.0000000000000004,1.0960637065157515e-16,4.4468953181668945e-15,4.5130565951012613e-14,1.4220178336366442e-16,4.541617844197618e-15,4.2771342023684156e-14,-9.894962070607562e-18,2.1001332468353107e-16,1.582067810090848e-15,8.98934403901746e-16,8.98934403901746e-16,6.2276572787567375e-15,0.01435143954007561,0.01435143954007561,0.015,507.6805041284821,507.6805041284821,562.1598728781062,1.0,1.0,1.0,0.8751276767243122,0.8751276767243122,0.963076923076923
risk_turnover_managed,419,2.0,2.0,2.0000000000000004,2.3908546847424503e-16,4.287275917468065e-15,4.3270942384765476e-14,2.8672205156395656e-16,4.385033174543874e-15,4.1272540940440194e-14,-3.469446951953614e-18,1.9914956716333263e-16,1.5543122344752192e-15,8.674252765780186e-16,8.674252765780186e-16,5.9674487573602164e-15,0.01393187926302444,0.01393187926302444,0.015,514.2601177813889,514.2601177813889,570.6166554560767,1.0,1.0,1.0,0.8751276767243122,0.8751276767243122,0.963076923076923
risk_turnover_vol_scaled,419,2.042420631715498,2.042420631715498,2.872444983361122,3.344704187440055e-16,4.120133861504676e-15,4.3270942384765476e-14,3.7352032763520656e-16,4.311533065071282e-15,4.1272540940440194e-14,2.2522424127240647e-18,1.9304698386120898e-16,1.7763568394002505e-15,8.350824540436185e-16,8.350824540436185e-16,5.218048215738236e-15,0.014093961304481189,0.014093961304481189,0.015000000000000001,514.2601177813889,514.2601177813889,570.6166554560768,1.021210315857749,1.021210315857749,1.436222491680561,0.8751276767243122,0.8751276767243122,0.963076923076923
