strategy,cost_bps,era,n_months,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_monthly_turnover,benchmark_cagr,information_ratio_vs_benchmark,alpha_annualized,beta
baseline_continuous_long_short,0.0,1990s,120,0.043146938043102434,0.05778227296231257,0.7610134323346407,-0.1474507996286213,0.575,0.6656396095986168,0.18714653306871853,-0.7876688639352387,0.08931205360041472,-0.24930817604562094
baseline_continuous_long_short,0.0,2000s,120,0.09798809470752246,0.1443739735239321,0.7204095858903884,-0.17591189151465425,0.575,0.6897936143457594,-0.0046455938427062415,0.35305083202390586,0.10838631902700716,-0.5234617263970385
baseline_continuous_long_short,0.0,2010s,120,0.019376368433886793,0.053337716399236075,0.3864748498872307,-0.0865028708284602,0.575,0.6218802998526939,0.14031262634840802,-0.8029442184825198,0.03516818082688951,-0.10402666154507854
baseline_continuous_long_short,0.0,2020s,59,0.027031942140598453,0.10323495871133209,0.3091506219022069,-0.14878543619565676,0.576271186440678,0.6434921305890094,0.1489110336267363,-0.5260346405915441,0.05595872937235986,-0.15329632964901801
baseline_continuous_long_short,10.0,1990s,120,0.03486621998820927,0.057896127063946236,0.6215512571370678,-0.15814231910152954,0.5416666666666666,0.6656396095986168,0.18714653306871853,-0.8330032011168206,0.08136697357748736,-0.24954239740427284
baseline_continuous_long_short,10.0,2000s,120,0.08900274015630538,0.1443290169524124,0.663282222306972,-0.182165653493651,0.575,0.6897936143457594,-0.0046455938427062415,0.3225301867588791,0.10010839884098113,-0.5234142799701271
baseline_continuous_long_short,10.0,2010s,120,0.011808401594003648,0.05330030640910501,0.24673633655215874,-0.11181582066916418,0.55,0.6218802998526939,0.14031262634840802,-0.852954403860471,0.027772601741978334,-0.10450542603327014
baseline_continuous_long_short,10.0,2020s,59,0.019147285436754036,0.10319801832817405,0.2344351811451777,-0.15284219902500873,0.576271186440678,0.6434921305890094,0.1489110336267363,-0.5585110975243439,0.04827110764490236,-0.1535149155370046
baseline_continuous_long_short,25.0,1990s,120,0.022557250743929336,0.0580800565744305,0.4132898451368884,-0.173943795734943,0.5333333333333333,0.6656396095986168,0.18714653306871853,-0.9009216530827464,0.06944935354309638,-0.24989372944225088
baseline_continuous_long_short,25.0,2000s,120,0.07565046691426058,0.14426528805209488,0.5775095809552452,-0.23128531121990192,0.5666666666666667,0.6897936143457594,-0.0046455938427062415,0.276735169845814,0.08769151856194213,-0.5233431103297603
baseline_continuous_long_short,25.0,2010s,120,0.0005526559728057379,0.05325037475876378,0.036756115839720084,-0.14850518189211037,0.5,0.6218802998526939,0.14031262634840802,-0.927908100163347,0.016679233114611572,-0.10522357276555763
baseline_continuous_long_short,25.0,2020s,59,0.0074238462951363715,0.10314697585155173,0.12225649531533962,-0.15889645132789743,0.576271186440678,0.6434921305890094,0.1489110336267363,-0.6072126220410707,0.03673967505371617,-0.15384279436898465
risk_neutral,0.0,1990s,120,0.0548102963954995,0.06301831481805023,0.8797863727807252,-0.10755346407059263,0.6416666666666667,0.7519370838832029,0.18714653306871853,-0.7148676233118166,0.10075648766456322,-0.24916996646888936
risk_neutral,0.0,2000s,120,0.08209730232538726,0.13504456586302235,0.6535789717072678,-0.1014215870750389,0.575,0.792092294684794,-0.0046455938427062415,0.311163002830011,0.0918498690628711,-0.4289615088712467
risk_neutral,0.0,2010s,120,0.0189616337484515,0.053871434585905174,0.3754860829748343,-0.07722218047959761,0.5666666666666667,0.6972187114781953,0.14031262634840802,-0.7817299536515455,0.04053073941896919,-0.14511179724067505
risk_neutral,0.0,2020s,59,0.06556073328241041,0.10646730272865607,0.6498945563590706,-0.1277176084006556,0.559322033898305,0.7233771612867255,0.1489110336267363,-0.3602556909310571,0.09797668584739697,-0.18352122806676976
risk_neutral,10.0,1990s,120,0.04536426908218827,0.06313897306005671,0.7351942446351549,-0.10964310796162524,0.6166666666666667,0.7519370838832029,0.18714653306871853,-0.7655339056824326,0.09180365013182037,-0.2495571203845515
risk_neutral,10.0,2000s,120,0.07192479518563344,0.13497335231558238,0.5835017031439522,-0.12826702099483245,0.55,0.792092294684794,-0.0046455938427062415,0.27421503401077374,0.08234246649131571,-0.4286870950143794
risk_neutral,10.0,2010s,120,0.010481425778095854,0.0538686834053843,0.2201900746282698,-0.09510393058593414,0.55,0.6972187114781953,0.14031262634840802,-0.836081582422816,0.032238445424728604,-0.1456430666767026
