date,period,signal,strategy,cost_bps,gross_return,net_return,turnover,benchmark_return,universe_size,long_count,short_count,gross_exposure,net_exposure,beta_exposure,size_exposure,maximum_sector_net_exposure,maximum_absolute_weight,effective_breadth,leverage_multiplier,risk_feature_coverage
1990-11-30,retrospective,COMPOSITE,baseline_continuous_long_short,0.0,0.004029963788870321,0.004029963788870321,0.715680434478726,0.031048455614934904,966,516,450,,,,,,,,,
1990-11-30,retrospective,COMPOSITE,baseline_continuous_long_short,10.0,0.004029963788870321,0.0033142833543915945,0.715680434478726,0.031048455614934904,966,516,450,,,,,,,,,
1990-11-30,retrospective,COMPOSITE,baseline_continuous_long_short,25.0,0.004029963788870321,0.0022407627026735056,0.715680434478726,0.031048455614934904,966,516,450,,,,,,,,,
1990-12-31,retrospective,COMPOSITE,baseline_continuous_long_short,0.0,-0.012714720673718044,-0.012714720673718044,0.6984538297583545,0.04946164854412313,967,508,459,,,,,,,,,
1990-12-31,retrospective,COMPOSITE,baseline_continuous_long_short,10.0,-0.012714720673718044,-0.013413174503476398,0.6984538297583545,0.04946164854412313,967,508,459,,,,,,,,,
1990-12-31,retrospective,COMPOSITE,baseline_continuous_long_short,25.0,-0.012714720673718044,-0.01446085524811393,0.6984538297583545,0.04946164854412313,967,508,459,,,,,,,,,
1991-01-31,retrospective,COMPOSITE,baseline_continuous_long_short,0.0,-0.0051471196991723055,-0.0051471196991723055,0.5783307375493003,0.07272948784030565,972,516,456,,,,,,,,,
1991-01-31,retrospective,COMPOSITE,baseline_continuous_long_short,10.0,-0.0051471196991723055,-0.005725450436721606,0.5783307375493003,0.07272948784030565,972,516,456,,,,,,,,,
1991-01-31,retrospective,COMPOSITE,baseline_continuous_long_short,25.0,-0.0051471196991723055,-0.006592946543045556,0.5783307375493003,0.07272948784030565,972,516,456,,,,,,,,,
1991-02-28,retrospective,COMPOSITE,baseline_continuous_long_short,0.0,0.0018488213943164806,0.0018488213943164806,0.6060787011875053,0.027461379667608345,971,506,465,,,,,,,,,
1991-02-28,retrospective,COMPOSITE,baseline_continuous_long_short,10.0,0.0018488213943164806,0.0012427426931289752,0.6060787011875053,0.027461379667608345,971,506,465,,,,,,,,,
1991-02-28,retrospective,COMPOSITE,baseline_continuous_long_short,25.0,0.0018488213943164806,0.00033362464134771737,0.6060787011875053,0.027461379667608345,971,506,465,,,,,,,,,
1991-03-28,retrospective,COMPOSITE,baseline_continuous_long_short,0.0,0.01112254534994605,0.01112254534994605,0.528639965102788,0.002112622680387596,971,518,453,,,,,,,,,
1991-03-28,retrospective,COMPOSITE,baseline_continuous_long_short,10.0,0.01112254534994605,0.010593905384843262,0.528639965102788,0.002112622680387596,971,518,453,,,,,,,,,
1991-03-28,retrospective,COMPOSITE,baseline_continuous_long_short,25.0,0.01112254534994605,0.00980094543718908,0.528639965102788,0.002112622680387596,971,518,453,,,,,,,,,
1991-04-30,retrospective,COMPOSITE,baseline_continuous_long_short,0.0,-0.006980333683550508,-0.006980333683550508,0.5661297709525452,0.041938437862952385,970,512,458,,,,,,,,,
1991-04-30,retrospective,COMPOSITE,baseline_continuous_long_short,10.0,-0.006980333683550508,-0.007546463454503053,0.5661297709525452,0.041938437862952385,970,512,458,,,,,,,,,
1991-04-30,retrospective,COMPOSITE,baseline_continuous_long_short,25.0,-0.006980333683550508,-0.008395658110931872,0.5661297709525452,0.041938437862952385,970,512,458,,,,,,,,,
1991-05-31,retrospective,COMPOSITE,baseline_continuous_long_short,0.0,0.034632366398268416,0.034632366398268416,0.5261214417024322,-0.04539681078875535,966,508,458,,,,,,,,,
1991-05-31,retrospective,COMPOSITE,baseline_continuous_long_short,10.0,0.034632366398268416,0.03410624495656599,0.5261214417024322,-0.04539681078875535,966,508,458,,,,,,,,,
1991-05-31,retrospective,COMPOSITE,baseline_continuous_long_short,25.0,0.034632366398268416,0.033317062794012337,0.5261214417024322,-0.04539681078875535,966,508,458,,,,,,,,,
1991-06-28,retrospective,COMPOSITE,baseline_continuous_long_short,0.0,-0.0013661609887711907,-0.0013661609887711907,0.47428025430317733,0.04775917567459233,955,516,439,,,,,,,,,
1991-06-28,retrospective,COMPOSITE,baseline_continuous_long_short,10.0,-0.0013661609887711907,-0.001840441243074368,0.47428025430317733,0.04775917567459233,955,516,439,,,,,,,,,
1991-06-28,retrospective,COMPOSITE,baseline_continuous_long_short,25.0,-0.0013661609887711907,-0.002551861624529134,0.47428025430317733,0.04775917567459233,955,516,439,,,,,,,,,
1991-07-31,retrospective,COMPOSITE,baseline_continuous_long_short,0.0,-0.0053762892926890625,-0.0053762892926890625,1.0420425704888676,0.026683183183431956,970,509,461,,,,,,,,,
1991-07-31,retrospective,COMPOSITE,baseline_continuous_long_short,10.0,-0.0053762892926890625,-0.0064183318631779295,1.0420425704888676,0.026683183183431956,970,509,461,,,,,,,,,
1991-07-31,retrospective,COMPOSITE,baseline_continuous_long_short,25.0,-0.0053762892926890625,-0.007981395718911231,1.0420425704888676,0.026683183183431956,970,509,461,,,,,,,,,
1991-08-30,retrospective,COMPOSITE,baseline_continuous_long_short,0.0,0.009680842902580101,0.009680842902580101,0.5951970483921427,-0.013181065164015793,963,513,450,,,,,,,,,
1991-08-30,retrospective,COMPOSITE,baseline_continuous_long_short,10.0,0.009680842902580101,0.009085645854187958,0.5951970483921427,-0.013181065164015793,963,513,450,,,,,,,,,
1991-08-30,retrospective,COMPOSITE,baseline_continuous_long_short,25.0,0.009680842902580101,0.008192850281599745,0.5951970483921427,-0.013181065164015793,963,513,450,,,,,,,,,
1991-09-30,retrospective,COMPOSITE,baseline_continuous_long_short,0.0,0.01303822653716392,0.01303822653716392,0.7159973985989876,0.016413923922978708,962,502,460,,,,,,,,,
