period,signal,strategy,cost_bps,n_months,alpha_annualized,alpha_hac_t_stat,alpha_p_value,r_squared,minimum_required_months,inference_eligible,test_family,beta_mktrf,beta_smb,beta_hml,beta_rmw,beta_cma,beta_umd,alpha_p_holm,alpha_significant_5pct
retrospective,COMPOSITE,baseline_continuous_long_short,0.0,419,0.018436025670982674,1.9145004788841482,0.05555623800158561,0.7424554994717283,24,True,exploratory,-0.10958932917962959,0.1454710213459638,0.23785704826597756,0.583380664462309,0.2505500813901636,0.13379040298410133,0.33333742800951366,False
retrospective,COMPOSITE,baseline_continuous_long_short,10.0,419,0.010607455092654247,1.1005491087567487,0.2710929450696361,0.7421634797033219,24,True,exploratory,-0.1098432106682531,0.14537596205821976,0.23798768516677493,0.5827696750973907,0.2499521720884095,0.1339245956319631,0.8132788352089083,False
retrospective,COMPOSITE,baseline_continuous_long_short,25.0,419,-0.0011354007748384147,-0.1176160009004176,0.9063719260642236,0.7416385615907026,24,True,exploratory,-0.11022403290118835,0.1452333731266039,0.23818364051797108,0.5818531910500145,0.24905530813577842,0.13412588460375585,0.9063719260642236,False
retrospective,COMPOSITE,risk_neutral,0.0,419,0.032273541737589104,3.259767909025196,0.0011150341669482469,0.7382096577539248,24,True,exploratory,-0.09518667723203092,-0.14007339546696237,0.20884356013946778,0.4974758642134548,0.24040358024484726,0.07010669332419071,0.012265375836430715,True
retrospective,COMPOSITE,risk_neutral,10.0,419,0.02341249551580413,2.3661758477096417,0.017972905439457152,0.7377723445308202,24,True,exploratory,-0.09539522346710572,-0.1402985668490473,0.20909867059488357,0.49664176466533033,0.23967295050395224,0.07021631365290754,0.12581033807620007,False
retrospective,COMPOSITE,risk_neutral,25.0,419,0.010120926183126674,1.0234726009407873,0.3060844480820222,0.7369905624040871,24,True,exploratory,-0.09570804281971804,-0.1406363239221748,0.20948133627800739,0.49539061534314416,0.23857700589260925,0.07038074414598279,0.8132788352089083,False
retrospective,COMPOSITE,risk_turnover_managed,0.0,419,0.029205451320023633,3.0954371118145634,0.0019652304262144896,0.7325916743767276,24,True,exploratory,-0.09971099167488907,-0.12173072357119508,0.1801943375385236,0.4253404328320025,0.25585480384871356,0.07084367349199854,0.019652304262144895,True
retrospective,COMPOSITE,risk_turnover_managed,10.0,419,0.024610204059355843,2.6098266422369774,0.00905881163399104,0.7322098710914242,24,True,exploratory,-0.09972312264687244,-0.12186406819732805,0.18040717230226316,0.42495023898688794,0.25552402627437637,0.07094923606610508,0.07247049307192832,False
retrospective,COMPOSITE,risk_turnover_managed,25.0,419,0.01771733316835417,1.8801453432107558,0.0600882722191206,0.7315839302808604,24,True,exploratory,-0.09974131910484749,-0.12206408513652753,0.18072642444787232,0.42436494821921583,0.2550278599128705,0.07110757992726488,0.33333742800951366,False
retrospective,COMPOSITE,risk_turnover_vol_scaled,0.0,419,0.027502873724104034,3.095017854055653,0.0019680105015649437,0.660848848349132,24,True,exploratory,-0.08990559508564396,-0.17024457458540046,0.14946424534197783,0.28797633855314425,0.21245380297215663,0.04858961674233383,0.019652304262144895,True
retrospective,COMPOSITE,risk_turnover_vol_scaled,10.0,419,0.02263143074119791,2.5437789043613748,0.010966047178953643,0.6606886730761763,24,True,primary,-0.09011305222705457,-0.16980932300681495,0.14976311437921935,0.2881224676486942,0.2124027878894397,0.04881891248610259,0.010966047178953643,True
retrospective,COMPOSITE,risk_turnover_vol_scaled,25.0,419,0.015324266266838728,1.7188387680749004,0.08564373419753968,0.6603485226162449,24,True,exploratory,-0.09042423793917054,-0.16915644563893656,0.1502114179350818,0.28834166129201844,0.21232626526536416,0.04916285610175575,0.3425749367901587,False
