horizon_months,months,mean_rank_ic,rank_ic_std,positive_month_fraction,naive_t_stat
1,179,0.007697636892777488,0.07378054164537913,0.553072625698324,1.395860755660192
3,177,0.010454699124274693,0.07275587743137853,0.5423728813559322,1.9117455559934953
6,174,0.01746135625671424,0.06760112043879192,0.6149425287356322,3.407208442569627
12,168,0.022201158240216786,0.06991517023653629,0.6190476190476191,4.1158435078508075
