adv_bucket,securities,median_adv_usd,median_spread_bps
Q1_low,475,6579260.16,10.712372790573518
Q2,474,15221501.2640225,6.28338045868664
Q3,474,27406882.335,5.094847926365272
Q4,474,56699934.905,3.6784994212130537
Q5_high,474,186495247.3775,2.4271108882657493
