period,candidate,aum_usd,borrow_bps,n_months,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_monthly_turnover,benchmark_cagr,information_ratio_vs_benchmark,alpha_annualized,beta,mean_spread_cost,mean_impact_cost,mean_borrow_cost,maximum_adv_participation,capacity_breaches
development,assertive,10000000.0,50.0,132,0.014472533396640008,0.06669972242516951,0.2487814800136299,-0.17634789171778065,0.553030303030303,0.8804502367924572,0.14572600289770277,-0.8009092582887825,0.01939662470745765,-0.019011868113654455,0.0003423872039505414,0.00010692941432379392,0.00041666666010848556,0.06294269821901909,0
development,assertive,10000000.0,150.0,132,0.004384341403195435,0.06669972242622074,0.09885582096869791,-0.19212573868102623,0.5227272727272727,0.8804502367924572,0.14572600289770277,-0.8621226288115561,0.00939662486902991,-0.01901186814197866,0.0003423872039505414,0.00010692941432379392,0.0012499999803254568,0.06294269821901909,0
development,assertive,10000000.0,300.0,132,-0.010575623650798671,0.06669972242779755,-0.12603266758983922,-0.274160649373827,0.5075757575757576,0.8804502367924572,0.14572600289770277,-0.9539426845898935,-0.005603374888611702,-0.019011868184464962,0.0003423872039505414,0.00010692941432379392,0.0024999999606509136,0.06294269821901909,0
development,assertive,100000000.0,50.0,132,0.011663376162276862,0.06671186221968795,0.20714640838892592,-0.18166240234725728,0.5303030303030303,0.8804502367924572,0.14572600289770277,-0.8176058689527815,0.01668105163601939,-0.019411779234867556,0.0003423872039505414,0.00033814049813102223,0.00041666666010848556,0.6294269821901909,288
development,assertive,100000000.0,150.0,132,0.001600803214642843,0.06671186222074706,0.05724803184933217,-0.1973428271951655,0.5227272727272727,0.8804502367924572,0.14572600289770277,-0.8787977415459945,0.00668105179759165,-0.01941177926319177,0.0003423872039505414,0.00033814049813102223,0.0012499999803254568,0.6294269821901909,288
development,assertive,100000000.0,300.0,132,-0.01332113134370938,0.06671186222233573,-0.16759953295113428,-0.28952990978486204,0.5,0.8804502367924572,0.14572600289770277,-0.9705855504299934,-0.008318947960049962,-0.019411779305678063,0.0003423872039505414,0.00033814049813102223,0.0024999999606509136,0.6294269821901909,288
development,assertive,500000000.0,50.0,132,0.006602949458424101,0.06673897556963959,0.1319101301896979,-0.19118753708122094,0.5303030303030303,0.8804502367924572,0.14572600289770277,-0.8477482230665071,0.011772058922740764,-0.020134706119303923,0.0003423872039505414,0.0007561051397666062,0.00041666666010848556,3.1471349109509545,4908
development,assertive,500000000.0,150.0,132,-0.003413458612277598,0.06673897557071287,-0.017927348693234462,-0.22516837926463296,0.5075757575757576,0.8804502367924572,0.14572600289770277,-0.9089005012665696,0.0017720590843130204,-0.02013470614762813,0.0003423872039505414,0.0007561051397666062,0.0012499999803254568,3.1471349109509545,4908
development,assertive,500000000.0,300.0,132,-0.018266863400171585,0.06673897557232282,-0.24268356700859667,-0.31650176297030375,0.49242424242424243,0.8804502367924572,0.14572600289770277,-1.000628918560845,-0.01322794067332859,-0.020134706190114437,0.0003423872039505414,0.0007561051397666062,0.0024999999606509136,3.1471349109509545,4908
full_retrospective,assertive,10000000.0,50.0,179,0.021399862205590647,0.07116890629704983,0.3332593857488013,-0.17634789171778065,0.5642458100558659,0.8981884788847174,0.13959879081938142,-0.6642194090344972,0.028969945488570487,-0.03639158521009729,0.00037256408242156364,0.00010742639768491457,0.00041666666010774033,0.06294269821901909,0
full_retrospective,assertive,10000000.0,150.0,179,0.011248256609226903,0.07116890630081889,0.1927485873732644,-0.19212573868102623,0.5418994413407822,0.8981884788847174,0.13959879081938142,-0.7192920129349386,0.018969945648722536,-0.03639158522906706,0.00037256408242156364,0.00010742639768491457,0.001249999980323221,0.06294269821901909,0
full_retrospective,assertive,10000000.0,300.0,179,-0.0038058398342626365,0.07116890630647249,-0.018017610162135784,-0.274160649373827,0.5307262569832403,0.8981884788847174,0.13959879081938142,-0.8019009187808298,0.003969945888950624,-0.036391585257521675,0.00037256408242156364,0.00010742639768491457,0.002499999960646442,0.06294269821901909,0
full_retrospective,assertive,100000000.0,50.0,179,0.018559884146251315,0.07118113826662305,0.2940424683945466,-0.18166240234725728,0.547486033519553,0.8981884788847174,0.13959879081938142,-0.6794072054976887,0.026221660375544423,-0.03666280022034318,0.00037256408242156364,0.0003397120975113694,0.00041666666010774033,0.6294269821901909,322
full_retrospective,assertive,100000000.0,150.0,179,0.008434164579156356,0.0711811382703965,0.15355581579694103,-0.1973428271951655,0.5418994413407822,0.8981884788847174,0.13959879081938142,-0.7344665756944159,0.01622166053569648,-0.03666280023931293,0.00037256408242156364,0.0003397120975113694,0.001249999980323221,0.6294269821901909,322
full_retrospective,assertive,100000000.0,300.0,179,-0.00658150482120945,0.07118113827605671,-0.057174163071539184,-0.28952990978486204,0.5251396648044693,0.8981884788847174,0.13959879081938142,-0.8170556309847367,0.0012216607759245682,-0.03666280026776756,0.00037256408242156364,0.0003397120975113694,0.002499999960646442,0.6294269821901909,322
full_retrospective,assertive,500000000.0,50.0,179,0.01344404461240134,0.07120765862761326,0.22316968373471904,-0.19118753708122094,0.547486033519553,0.8981884788847174,0.13959879081938142,-0.706837331309223,0.021253533487059873,-0.037153080715105806,0.00037256408242156364,0.0007596193428144593,0.00041666666010774033,3.1471349109509545,6162
full_retrospective,assertive,500000000.0,150.0,179,0.003364970126155775,0.07120765863139444,0.08273535355691489,-0.22516837926463296,0.5307262569832403,0.8981884788847174,0.13959879081938142,-0.7618722789897768,0.01125353364721193,-0.03715308073407557,0.00037256408242156364,0.0007596193428144593,0.001249999980323221,3.1471349109509545,6162
full_retrospective,assertive,500000000.0,300.0,179,-0.011581456265266854,0.07120765863706623,-0.12791614168182688,-0.31650176297030375,0.5083798882681564,0.8981884788847174,0.13959879081938142,-0.8444247005058401,-0.0037464661125599878,-0.037153080762530204,0.00037256408242156364,0.0007596193428144593,0.002499999960646442,3.1471349109509545,6162
temporal_assessment,assertive,10000000.0,50.0,47,0.04110936541092358,0.08296757168401003,0.5270212959664172,-0.1074505282172652,0.5957446808510638,0.948006520505533,0.12256513142191738,-0.40490136911924524,0.05222012566874256,-0.06264352065156556,0.0004573161666380517,0.00010882218074167892,0.00041666666010564744,0.02568060636498209,0
temporal_assessment,assertive,10000000.0,150.0,47,0.030777538352879885,0.08296757169411251,0.4064922791027192,-0.11198965189266241,0.5957446808510638,0.948006520505533,0.12256513142191738,-0.44897268921306627,0.04222012582682718,-0.06264352065613904,0.0004573161666380517,0.00010882218074167892,0.0012499999803169423,0.02568060636498209,0
temporal_assessment,assertive,10000000.0,300.0,47,0.0154559173250568,0.08296757170926623,0.22569875386220772,-0.11876226054162464,0.5957446808510638,0.948006520505533,0.12256513142191738,-0.515079669350526,0.027220126063954127,-0.06264352066299922,0.0004573161666380517,0.00010882218074167892,0.0024999999606338846,0.02568060636498209,0
temporal_assessment,assertive,100000000.0,50.0,47,0.0381812687156875,0.08298138703381813,0.4929061006324463,-0.10921862955266548,0.5957446808510638,0.948006520505533,0.12256513142191738,-0.41731245228382274,0.04940652769131082,-0.0627176156514889,0.0004573161666380517,0.0003441259510902168,0.00041666666010564744,0.2568060636498209,34
temporal_assessment,assertive,100000000.0,150.0,47,0.027876090005178655,0.08298138704391719,0.37239715032746995,-0.11375025376697634,0.5957446808510638,0.948006520505533,0.12256513142191738,-0.4613802776409582,0.03940652784939544,-0.06271761565606235,0.0004573161666380517,0.0003441259510902168,0.0012499999803169423,0.2568060636498209,34
temporal_assessment,assertive,100000000.0,300.0,47,0.012594028298209325,0.08298138705906577,0.19163372492500386,-0.12051166095552435,0.5957446808510638,0.948006520505533,0.12256513142191738,-0.5274820156733907,0.024406528086522362,-0.06271761566292253,0.0004573161666380517,0.0003441259510902168,0.0024999999606338846,0.2568060636498209,34
temporal_assessment,assertive,500000000.0,50.0,47,0.032907006614625756,0.0830091562215582,0.431249716500345,-0.11240753585477548,0.5957446808510638,0.948006520505533,0.12256513142191738,-0.4397412294226404,0.04432033350468463,-0.06285155858181897,0.0004573161666380517,0.0007694890194594927,0.00041666666010564744,1.2840303182491046,1254
temporal_assessment,assertive,500000000.0,150.0,47,0.02264984406384829,0.08300915623165073,0.31078108025759993,-0.116925628025355,0.5957446808510638,0.948006520505533,0.12256513142191738,-0.4838025405177329,0.034320333662769265,-0.06285155858639246,0.0004573161666380517,0.0007694890194594927,0.0012499999803169423,1.2840303182491046,1254
temporal_assessment,assertive,500000000.0,300.0,47,0.007439061832452909,0.08300915624678952,0.13007812594840826,-0.1294273531258311,0.5531914893617021,0.948006520505533,0.12256513142191738,-0.5498945071571029,0.019320333899896194,-0.06285155859325264,0.0004573161666380517,0.0007694890194594927,0.0024999999606338846,1.2840303182491046,1254
