date,factor_month,research_period,factor_cost_bps,gross_return,net_return,factor_sleeve_gross_return,factor_sleeve_net_return,equal_factor_gross_return,equal_factor_net_return,combined_unlevered_return,combined_risk_scaled_return,equal_factor_combination_return,v4_sleeve_weight,factor_sleeve_weight,combined_leverage
2010-01-29,2010-02,development,0.0,0.0245628390386303,0.0212672857753173,0.021515166724188215,0.021515166724188215,0.021483333333333337,0.021483333333333337,0.021437782322354767,0.042875564644709534,0.02141588679853185,0.31218374056548803,0.6878162594345119,2.0
2010-01-29,2010-02,development,50.0,0.0245628390386303,0.0212672857753173,0.021515166724188215,0.02109850005752155,0.021483333333333337,0.02106666666666667,0.021151192214257056,0.04230238442851411,0.021129296690434136,0.31218374056548803,0.6878162594345119,2.0
2010-01-29,2010-02,development,100.0,0.0245628390386303,0.0212672857753173,0.021515166724188215,0.020681833390854883,0.021483333333333337,0.020650000000000005,0.02086460210615934,0.04172920421231868,0.020842706582336425,0.31218374056548803,0.6878162594345119,2.0
2010-01-29,2010-02,development,150.0,0.0245628390386303,0.0212672857753173,0.021515166724188215,0.020265166724188214,0.021483333333333337,0.020233333333333336,0.020578011998061627,0.04115602399612325,0.020556116474238707,0.31218374056548803,0.6878162594345119,2.0
2010-02-26,2010-03,development,0.0,-0.0018045766734718,-0.0037499328616807,0.026718739958145558,0.026718739958145558,0.02501666666666667,0.02501666666666667,0.017206915707186177,0.034413831414372355,0.01603620202255778,0.31218374056548803,0.6878162594345119,2.0
2010-02-26,2010-03,development,50.0,-0.0018045766734718,-0.0037499328616807,0.026718739958145558,0.026302073291478892,0.02501666666666667,0.024600000000000004,0.016920325599088463,0.033840651198176926,0.015749611914460067,0.31218374056548803,0.6878162594345119,2.0
2010-02-26,2010-03,development,100.0,-0.0018045766734718,-0.0037499328616807,0.026718739958145558,0.025885406624812226,0.02501666666666667,0.024183333333333338,0.01663373549099075,0.0332674709819815,0.015463021806362356,0.31218374056548803,0.6878162594345119,2.0
2010-02-26,2010-03,development,150.0,-0.0018045766734718,-0.0037499328616807,0.026718739958145558,0.025468739958145557,0.02501666666666667,0.02376666666666667,0.016347145382893037,0.032694290765786074,0.015176431698264641,0.31218374056548803,0.6878162594345119,2.0
2010-03-31,2010-04,development,0.0,-0.0161121553097239,-0.0180206624657822,0.02374724444828149,0.02374724444828149,0.025783333333333335,0.025783333333333335,0.010707983032257973,0.021415966064515946,0.012108438073050521,0.31218374056548803,0.6878162594345119,2.0
2010-03-31,2010-04,development,50.0,-0.0161121553097239,-0.0180206624657822,0.02374724444828149,0.023330577781614823,0.025783333333333335,0.02536666666666667,0.010421392924160262,0.020842785848320524,0.011821847964952807,0.31218374056548803,0.6878162594345119,2.0
2010-03-31,2010-04,development,100.0,-0.0161121553097239,-0.0180206624657822,0.02374724444828149,0.022913911114948157,0.025783333333333335,0.024950000000000003,0.010134802816062547,0.020269605632125095,0.011535257856855096,0.31218374056548803,0.6878162594345119,2.0
