factor,development_annualized_mean,development_annualized_volatility,development_sharpe,positive_rolling_60m_mean_fraction,final_weight
mktrf,0.0808,0.14650366438038406,0.5515220410474498,0.8073089700996677,0.21982583947529455
smb,0.015446666666666666,0.10406879895293322,0.14842745205172078,0.6710963455149501,0.12006665204590708
hml,0.018806666666666666,0.10163974611693473,0.1850326017641753,0.6511627906976745,0.12912581605042373
rmw,0.03975,0.09015044320174333,0.440929612637016,0.9102990033222591,0.19245605805115226
cma,0.023389999999999998,0.06948376129402796,0.3366254152682195,0.7840531561461794,0.16664250892634414
umd,0.05866,0.16394585739197212,0.357801050500178,0.7807308970099668,0.1718831254508782
